break_state,confirmation,end,entry_ask,mae,mfe,minute,quality,reason,session_date,setup,side,strike,structure,symbol,volume_state,vwap_state
NO_BREAK,NO_SETUP,-3.6,122.9,-5.9,-0.45,10:09,A,"Bullish candidate with no clean setup: No break of 23,965.0. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME SPIKE",2026-07-23,PULLBACK_IN_TREND,CE,24000.0,TRENDING_UP,NIFTY,VOLUME_SPIKE,ABOVE_VWAP
NO_BREAK,CONTRADICTED,0.45,114.6,-0.9,5.4,15:08,B,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → HIGHER LOW → BELOW VWAP → VOLUME NORMAL,2026-07-23,NO_CLEAR_SETUP,CE,23900.0,REVERSING_UP,NIFTY,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,CONTRADICTED,0.45,158.85,-33.05,0.45,10:18,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL,2026-07-23,PULLBACK_IN_TREND,CE,76600.0,TRENDING_UP,SENSEX,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-34.4,134.35,-34.45,-0.25,12:42,A,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING,2026-07-30,PULLBACK_IN_TREND,CE,77800.0,TRENDING_UP,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,NO_SETUP,-5.25,133.5,-5.25,1.15,11:58,A,"Bullish candidate with no clean setup: No break of 24,663.4. LOWER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME EXPANDING",2026-08-06,NO_CLEAR_SETUP,CE,24700.0,BREAKOUT_UP,NIFTY,VOLUME_EXPANDING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-1.05,137.75,-16.45,-1.05,13:15,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → REJECTED VWAP → AT VAL → VOLUME DECLINING,2026-08-06,NO_CLEAR_SETUP,PE,24650.0,MIXED,NIFTY,VOLUME_DECLINING,REJECTED_VWAP
NO_BREAK,CONTRADICTED,-11.65,99.9,-11.65,-2.35,09:43,A,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → BELOW VWAP → AT VAL → VOLUME DECLINING,2026-08-10,RANGE_ROTATION,PE,24550.0,RANGE,NIFTY,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-1.7,95.85,-6.85,0.35,10:30,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING,2026-08-10,PULLBACK_IN_TREND,CE,24600.0,TRENDING_UP,NIFTY,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,2.0,79.2,-7.15,2.2,13:51,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL,2026-08-14,PULLBACK_IN_TREND,CE,24450.0,TRENDING_UP,NIFTY,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-10.65,91.7,-11.0,-2.6,09:49,B,Price action contradicts the candidate: structure reads trending down. LOWER HIGH → LOWER LOW → CROSSING VWAP → VOLUME EXPANDING,2026-08-27,PULLBACK_IN_TREND,CE,24300.0,TRENDING_DOWN,NIFTY,VOLUME_EXPANDING,CROSSING_VWAP
