break_state,final,minute,pa_reason,price_action,rejection,session_date,setup,structure,symbol,thirteen_a,value_state,volume_state,vwap_state
CLEAN_BREAK,WAIT,13:28,"Partial: HIGHER HIGH → HIGHER LOW → HIGH BREAK at 77,721.0 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING",PARTIAL,,2026-07-20,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,WAIT,10:09,"Bullish candidate with no clean setup: No break of 23,965.0. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME SPIKE",NO_SETUP,,2026-07-23,PULLBACK_IN_TREND,TRENDING_UP,NIFTY,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_SPIKE,ABOVE_VWAP
CLEAN_BREAK,WAIT,11:22,"Partial: HIGHER LOW → LOW BREAK at 23,960.2 → NO FOLLOW-THROUGH YET → ABOVE VWAP → AT POC → VOLUME NORMAL",PARTIAL,,2026-07-23,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,AT_POC,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,WAIT,15:08,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → HIGHER LOW → BELOW VWAP → VOLUME NORMAL,CONTRADICTED,,2026-07-23,NO_CLEAR_SETUP,REVERSING_UP,NIFTY,BUY_CE,INSIDE_VALUE,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,WAIT,10:18,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL,CONTRADICTED,,2026-07-23,PULLBACK_IN_TREND,TRENDING_UP,SENSEX,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,WAIT,12:42,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING,CONTRADICTED,,2026-07-30,PULLBACK_IN_TREND,TRENDING_UP,SENSEX,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,WAIT,15:09,"Partial: LOWER HIGH → LOWER LOW → HIGH BREAK at 78,118.7 → NO FOLLOW-THROUGH YET → ABOVE VWAP → VOLUME DECLINING",PARTIAL,,2026-07-31,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,INSIDE_VALUE,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,WAIT,09:52,"Partial: HIGHER HIGH → LOWER LOW → HIGH BREAK at 78,864.5 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME EXPANDING",PARTIAL,,2026-08-04,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_EXPANDING,ABOVE_VWAP
CLEAN_BREAK,WAIT,11:19,"Partial: HIGH BREAK at 24,656.3 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL",PARTIAL,,2026-08-06,BREAKOUT_CONTINUATION,BREAKOUT_UP,NIFTY,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,WAIT,11:58,"Bullish candidate with no clean setup: No break of 24,663.4. LOWER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME EXPANDING",NO_SETUP,,2026-08-06,NO_CLEAR_SETUP,BREAKOUT_UP,NIFTY,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_EXPANDING,ABOVE_VWAP
